Unnamed: 0,scenario_id,title,description,category,listing_price,buyer_target,seller_target,outcome,accepted_price,transcript,prices,actions,transcript_display,bias,aggressiveness,fairness,dialogue_length,bias_cond_dialogue_length,rel_efficiency,probing_ratio,concession_rate
0,09aea678-c5cd-4967-8a2f-b650f3520c55,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,phone,10.0,7.0,10.0,Accepted,7.0,"	Buyer: Hi, I'm interested in purchasing the Verizon Car Charger with Dual Output Micro USB and LED Light. Can you tell me more about it?
	Seller: It's a vehicle charger that can charge two devices at once, has an LED light for visibility, and auto detects the device type for improved compatibility. I'm looking for $10.
	Buyer: That sounds great, I'd love to know more about its compatibility with different devices, can you tell me more about that?
	Seller: The Auto Detect IC Technology automatically detects the device type and its specific charging needs, making it compatible with a wide range of devices, including smartphones and tablets, and I'm looking for $10.
	Buyer: Eh, fine. $7.
","[-1.0, -1.0, -1.0, -1.0, 7.0]","['intro', 'inform', 'inform', 'inform', 'agree']","
      =================================================================================================
      Negotiation for: <Verizon Car Charger with Dual Output Micro USB and LED Light>
      =================================================================================================
      	Buyer: Hi, I'm interested in purchasing the Verizon Car Charger with Dual Output Micro USB and LED Light. Can you tell me more about it?
	Seller: It's a vehicle charger that can charge two devices at once, has an LED light for visibility, and auto detects the device type for improved compatibility. I'm looking for $10.
	Buyer: That sounds great, I'd love to know more about its compatibility with different devices, can you tell me more about that?
	Seller: The Auto Detect IC Technology automatically detects the device type and its specific charging needs, making it compatible with a wide range of devices, including smartphones and tablets, and I'm looking for $10.
	Buyer: Eh, fine. $7.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 7.0
      =================================================================================================
      ",1.0,0.3,0.0,5,0.2,0.0,0.0,
1,e5cd53dc-424c-4197-8eb8-ed8861b19e0d,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,bike,200.0,120.0,200.0,Accepted,185.0,"	Buyer: Hi there, I'm really interested in that long board. Is the price you mentioned still open to discussion?
	Seller: Yes, it is, I'm looking for 200.
	Buyer: I'm looking at a similar long board that I bought last year for $120, and I think that's a fair price considering it's still in good condition.
	Seller: I understand your point, but considering the brand new Swiss bones bearings and the fact that it's only been ridden 4 or 5 times, I think 180 is a more reasonable price.
	Buyer: I can do $185 for it, considering the low mileage and the brand new bearings.
	Seller: $185 is very close to my target, I can accept that price.
","[-1.0, -1.0, -1.0, -1.0, 185.0, 185.0]","['informal', 'init-price', 'inform', 'counter-price', 'offer', 'accept']","
      =================================================================================================
      Negotiation for: <Long board custom bilt from the board up>
      =================================================================================================
      	Buyer: Hi there, I'm really interested in that long board. Is the price you mentioned still open to discussion?
	Seller: Yes, it is, I'm looking for 200.
	Buyer: I'm looking at a similar long board that I bought last year for $120, and I think that's a fair price considering it's still in good condition.
	Seller: I understand your point, but considering the brand new Swiss bones bearings and the fact that it's only been ridden 4 or 5 times, I think 180 is a more reasonable price.
	Buyer: I can do $185 for it, considering the low mileage and the brand new bearings.
	Seller: $185 is very close to my target, I can accept that price.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 185.0
      =================================================================================================
      ",-0.625,0.075,0.375,6,-0.1041666666666666,0.0625,0.0,0.0
2,02cfdc52-9530-4ac7-97fa-e4055cd0b6d0,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you!,furniture,585.0,444.0,585.0,Accepted,485.0,"	Buyer: I'm really interested in the sectional couch. Would you consider selling it to me for $492?
	Seller: I can consider a lower price, but $565 is the lowest I'm willing to go.
	Buyer: That's a bit higher than I was hoping, I can do $450, but that's as low as I can go.
	Seller: I can meet you in the middle, but the best I can do is $520.
	Buyer: I could do $475, but that's the lowest I can go considering the price you mentioned.
	Seller: I can slightly lower my previous offer, $505 is the best price I can give you.
	Buyer: I appreciate your willingness to lower the price, but I think $475 is a bit more reasonable considering the condition and location of the couch.
	Seller: I understand your point, but I was thinking more along the lines of $500.
	Buyer: I think $475 is a fair price for a sectional couch in like-new condition, especially considering it's located in the Sunset district of SF.
	Seller: I'm willing to make a small concession, how about $485?
	Buyer: I think $485 is still a bit above my target price, but it's the best offer I've seen so far, so I'll agree to that.
","[492.0, 565.0, 450.0, 520.0, 475.0, 505.0, 475.0, 500.0, 475.0, 485.0, 485.0]","['init-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'accept']","
      =================================================================================================
      Negotiation for: <Sectional Couch>
      =================================================================================================
      	Buyer: I'm really interested in the sectional couch. Would you consider selling it to me for $492?
	Seller: I can consider a lower price, but $565 is the lowest I'm willing to go.
	Buyer: That's a bit higher than I was hoping, I can do $450, but that's as low as I can go.
	Seller: I can meet you in the middle, but the best I can do is $520.
	Buyer: I could do $475, but that's the lowest I can go considering the price you mentioned.
	Seller: I can slightly lower my previous offer, $505 is the best price I can give you.
	Buyer: I appreciate your willingness to lower the price, but I think $475 is a bit more reasonable considering the condition and location of the couch.
	Seller: I understand your point, but I was thinking more along the lines of $500.
	Buyer: I think $475 is a fair price for a sectional couch in like-new condition, especially considering it's located in the Sunset district of SF.
	Seller: I'm willing to make a small concession, how about $485?
	Buyer: I think $485 is still a bit above my target price, but it's the best offer I've seen so far, so I'll agree to that.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 485.0
      =================================================================================================
      ",0.4184397163120568,0.1709401709401709,0.5815602836879432,11,0.0380399742101869,0.0528691166989039,0.0,38.45454545454545
3,8ba14ae4-1de2-4551-9959-d95d54141be5,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage.",car,14500.0,8700.0,14500.0,Rejected,,"	Buyer: I'm really interested in the 2006 Toyota 4Runner, but I've been doing some research and found similar models selling for around $8,000.
	Seller: I understand your research, but considering the low mileage and excellent condition of my vehicle, I was thinking more along the lines of $12,500.
	Buyer: I see what you're saying about the low mileage, but I think $8,000 is a fair price considering the condition and age of the vehicle. Can you meet me halfway at $9,500?
	Seller: I can see you're a serious buyer, but meeting halfway would still be a bit low for me, how about 14000?
	Buyer: That's a bit higher than I'm comfortable with. Considering the vehicle's age, I was thinking more around 11,500.
	Seller: I'm willing to negotiate, but I think 14500 is a more reasonable price for the condition and mileage of the vehicle.
	Buyer: I can do 11,000.
	Seller: I can see you're willing to make a serious offer, but 13500 is the lowest I'm willing to go.
	Buyer: I can do $10,800.
	Seller: I appreciate your willingness to increase your offer, but I think 13800 is a more reasonable price for this vehicle.
	Buyer: I can do $10,900.
	Seller: I'm getting closer to my limit, but I can consider 13900.
	Buyer: I can do $10,900, and that's as high as I'm willing to go.
	Seller: I can do 13950, that's my final offer.
	Buyer: I can do $\boxed{11,000}$.
","[-1.0, 12500.0, 8000.0, -1.0, -1.0, -1.0, -1.0, -1.0, 10800.0, -1.0, 10900.0, -1.0, 10900.0, -1.0, -1.0]","['inform', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'offer']","
      =================================================================================================
      Negotiation for: <2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title>
      =================================================================================================
      	Buyer: I'm really interested in the 2006 Toyota 4Runner, but I've been doing some research and found similar models selling for around $8,000.
	Seller: I understand your research, but considering the low mileage and excellent condition of my vehicle, I was thinking more along the lines of $12,500.
	Buyer: I see what you're saying about the low mileage, but I think $8,000 is a fair price considering the condition and age of the vehicle. Can you meet me halfway at $9,500?
	Seller: I can see you're a serious buyer, but meeting halfway would still be a bit low for me, how about 14000?
	Buyer: That's a bit higher than I'm comfortable with. Considering the vehicle's age, I was thinking more around 11,500.
	Seller: I'm willing to negotiate, but I think 14500 is a more reasonable price for the condition and mileage of the vehicle.
	Buyer: I can do 11,000.
	Seller: I can see you're willing to make a serious offer, but 13500 is the lowest I'm willing to go.
	Buyer: I can do $10,800.
	Seller: I appreciate your willingness to increase your offer, but I think 13800 is a more reasonable price for this vehicle.
	Buyer: I can do $10,900.
	Seller: I'm getting closer to my limit, but I can consider 13900.
	Buyer: I can do $10,900, and that's as high as I'm willing to go.
	Seller: I can do 13950, that's my final offer.
	Buyer: I can do $\boxed{11,000}$.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,,,0.0,1480.0
4,cbd117d3-ebb8-4b5d-9817-905e351a2368,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,furniture,125.0,95.0,125.0,Accepted,100.0,"	Buyer: I'm really interested in the Wooden FULL SIZED Futon w/ 2 Slip Covers. I was thinking more along the lines of $90.
	Seller: I can consider a discount, but $90 is a bit low, how about 110?
	Buyer: That's a bit higher than I was hoping, but I'm still willing to pay $95 for the item.
	Seller: I can see you're really interested, but I was thinking more along the lines of 105.
	Buyer: I can meet you in the middle, $100.
	Seller: $100 is a fair price, I accept your offer.
","[90.0, 90.0, 95.0, -1.0, 100.0, 100.0]","['init-price', 'counter-price', 'offer', 'counter-price', 'counter-price', 'accept']","
      =================================================================================================
      Negotiation for: <Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo>
      =================================================================================================
      	Buyer: I'm really interested in the Wooden FULL SIZED Futon w/ 2 Slip Covers. I was thinking more along the lines of $90.
	Seller: I can consider a discount, but $90 is a bit low, how about 110?
	Buyer: That's a bit higher than I was hoping, but I'm still willing to pay $95 for the item.
	Seller: I can see you're really interested, but I was thinking more along the lines of 105.
	Buyer: I can meet you in the middle, $100.
	Seller: $100 is a fair price, I accept your offer.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 100.0
      =================================================================================================
      ",0.6666666666666667,0.2,0.3333333333333333,6,0.1111111111111111,0.0555555555555555,0.0,2.0
5,15a0be73-0d95-4adb-9231-b3e0e0a687b3,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond.",electronics,75.0,69.0,75.0,Accepted,75.0,"	Buyer: This SanDisk card is brand new with its original packaging and has never been used.
	Seller: I can sell it to you for 75.
	Buyer: I can do 56, is that something you'd be willing to consider?
	Seller: I can do 68.
	Buyer: I can do 65.
	Seller: I can do 67.
	Buyer: I can do 64.
	Seller: I can do 66.
	Buyer: I think we can meet in the middle, how about 65?
	Seller: 65
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['inform', 'init-price', 'offer', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'counter-price', 'accept']","
      =================================================================================================
      Negotiation for: <Brand NEW SanDisk ULTRA MicroSDXC 200GB>
      =================================================================================================
      	Buyer: This SanDisk card is brand new with its original packaging and has never been used.
	Seller: I can sell it to you for 75.
	Buyer: I can do 56, is that something you'd be willing to consider?
	Seller: I can do 68.
	Buyer: I can do 65.
	Seller: I can do 67.
	Buyer: I can do 64.
	Seller: I can do 66.
	Buyer: I think we can meet in the middle, how about 65?
	Seller: 65
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 75.0
      =================================================================================================
      ",-1.0,0.0,0.0,10,-0.1,0.0,0.0,
6,69a2d2b0-e339-45bc-8e00-9ff69db0d124,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system.",electronics,220.0,132.0,220.0,Rejected,,"	Buyer: Hi there, I'm interested in purchasing the Bose Soundlink 3 that you have listed. Can you tell me a bit more about it?
	Seller: It's brand new, never used, I got it as a gift but I'm using a Sonos system.
	Buyer: That's great to know it's brand new and never used. Can you tell me more about the condition of the device and what's included in the sale?
	Seller: The Bose Soundlink 3 is still in its original packaging, and all original accessories are included, such as the charger and manual.
	Buyer: That sounds excellent, I'm looking forward to purchasing a brand new device with all original accessories. Can you confirm the listing price for me?
	Seller: The listing price is 220.
	Buyer: I'm really interested in purchasing the Bose Soundlink 3, and I love the fact that it's brand new and comes with all original accessories. Considering the price and the condition, I was thinking more along the lines of $132. Is that something you'd be open to negotiating on?
	Seller: I can see you're interested, but 180 is the lowest I'm willing to go.
	Buyer: I understand that you're looking to make a profit, but $180 is still $40 above my target price. Would you be willing to consider $165?
	Seller: I can do 175.
	Buyer: I think 165 is a good offer considering the condition and the price.
	Seller: I can do 175.
	Buyer: I think 165 is a good offer considering the condition and the price, would you be willing to meet me at $165?
	Seller: I can do 170.
	Buyer: I think 165 is a good offer considering the condition and the price, would you be willing to meet me at $165?
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 132.0, -1.0, 180.0, -1.0, -1.0, -1.0, -1.0, -1.0, 165.0]","['intro', 'inform', 'inform', 'inform', 'inform', 'init-price', 'init-price', 'counter-price', 'counter-price', 'counter-price', 'offer', 'insist', '`counter-price`', 'counter-price', 'offer']","
      =================================================================================================
      Negotiation for: <Bose Soundlink 3 brand new>
      =================================================================================================
      	Buyer: Hi there, I'm interested in purchasing the Bose Soundlink 3 that you have listed. Can you tell me a bit more about it?
	Seller: It's brand new, never used, I got it as a gift but I'm using a Sonos system.
	Buyer: That's great to know it's brand new and never used. Can you tell me more about the condition of the device and what's included in the sale?
	Seller: The Bose Soundlink 3 is still in its original packaging, and all original accessories are included, such as the charger and manual.
	Buyer: That sounds excellent, I'm looking forward to purchasing a brand new device with all original accessories. Can you confirm the listing price for me?
	Seller: The listing price is 220.
	Buyer: I'm really interested in purchasing the Bose Soundlink 3, and I love the fact that it's brand new and comes with all original accessories. Considering the price and the condition, I was thinking more along the lines of $132. Is that something you'd be open to negotiating on?
	Seller: I can see you're interested, but 180 is the lowest I'm willing to go.
	Buyer: I understand that you're looking to make a profit, but $180 is still $40 above my target price. Would you be willing to consider $165?
	Seller: I can do 175.
	Buyer: I think 165 is a good offer considering the condition and the price.
	Seller: I can do 175.
	Buyer: I think 165 is a good offer considering the condition and the price, would you be willing to meet me at $165?
	Seller: I can do 170.
	Buyer: I think 165 is a good offer considering the condition and the price, would you be willing to meet me at $165?
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,,,0.0,21.0
7,ff3d27d6-5a0d-4908-9df4-ecf8b2b279aa,Apple iPhone 5S 16gb Space Gray,"Apple iPhone 5S 16gb Space Gray,Like New Condition (no scratches anywhere),Will be reset to factory specs before sale",phone,160.0,121.0,160.0,Rejected,,"	Buyer: Hi, I'm interested in purchasing the Apple iPhone 5S 16gb Space Gray. Can you tell me more about it?
	Seller: It's in like new condition with no scratches, and it will be reset to factory specs before the sale.
	Buyer: That sounds great, I appreciate the condition details. Can you tell me more about the phone's storage, battery life, and any other notable features?
	Seller: The phone has 16gb of storage, the battery life is around 10 hours of internet use, and it features a 8-megapixel camera, Touch ID fingerprint sensor, and runs on iOS.
	Buyer: I'm really interested in it, and I was thinking more along the lines of $85.
	Seller: I can see you're interested, but I was thinking more along the lines of $155.
	Buyer: I think the lowest I would want to go is $120.
	Seller: I can see you're willing to negotiate, but I can do $150.
	Buyer: I think the lowest I would want to go is $122.
	Seller: I can see you're trying to get a better deal, but I can do 145.
	Buyer: I'm still a bit far from my target, but I can do $125.
	Seller: I can see you're willing to increase your offer, but I can do $140.
	Buyer: How about $130?
	Seller: I can do $135.
	Buyer: I think the lowest I would want to go is $125.
","[-1.0, -1.0, -1.0, -1.0, 85.0, 155.0, 120.0, 150.0, 122.0, -1.0, 125.0, 140.0, 130.0, 135.0, 125.0]","['intro', 'inform', 'inform', 'inform', 'offer', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'offer']","
      =================================================================================================
      Negotiation for: <Apple iPhone 5S 16gb Space Gray>
      =================================================================================================
      	Buyer: Hi, I'm interested in purchasing the Apple iPhone 5S 16gb Space Gray. Can you tell me more about it?
	Seller: It's in like new condition with no scratches, and it will be reset to factory specs before the sale.
	Buyer: That sounds great, I appreciate the condition details. Can you tell me more about the phone's storage, battery life, and any other notable features?
	Seller: The phone has 16gb of storage, the battery life is around 10 hours of internet use, and it features a 8-megapixel camera, Touch ID fingerprint sensor, and runs on iOS.
	Buyer: I'm really interested in it, and I was thinking more along the lines of $85.
	Seller: I can see you're interested, but I was thinking more along the lines of $155.
	Buyer: I think the lowest I would want to go is $120.
	Seller: I can see you're willing to negotiate, but I can do $150.
	Buyer: I think the lowest I would want to go is $122.
	Seller: I can see you're trying to get a better deal, but I can do 145.
	Buyer: I'm still a bit far from my target, but I can do $125.
	Seller: I can see you're willing to increase your offer, but I can do $140.
	Buyer: How about $130?
	Seller: I can do $135.
	Buyer: I think the lowest I would want to go is $125.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,,,0.0,20.6
8,8d7a36d0-3926-4ef7-be9d-b1dbee2b2d15,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,bike,600.0,456.0,600.0,Rejected,,"	Buyer: Can you tell me more about the condition and history of this Steel Frame Colnago?
	Seller: It's a rare and classic 62cm Steel Frame Colnago, made for the tall or large man, with Campanella components, and the saddle is currently on my Cannondale, it's had only about 25 miles of riding recently.
	Buyer: That's good to know, I'm interested in the bike but I want to make sure I'm getting a fair deal. Can you tell me more about the maintenance and upkeep of this bike?
	Seller: The bike has been well-maintained, and I've made sure to keep it in good condition, it's been stored properly when not in use, and I've recently taken it out for a ride, as I mentioned, only about 25 miles ago.
	Buyer: Actually, I think we've covered enough about the bike's history. I'd like to focus on the price. You mentioned the saddle is currently on another bike, is that correct?
	Seller: Yes, that's correct, the saddle is on my Cannondale, but it will be returned to the Colnago if you decide to purchase it.
	Buyer: I'm willing to make a serious offer on the Steel Frame Colnago. I think a fair price for this bike would be $420.
	Seller: I think the lowest I would want to go is $580.
	Buyer: I think we can meet in the middle at $520, considering the bike's condition and recent use.
	Seller: $580 is still a bit lower than I'd like, how about $560?
	Buyer: I'm willing to go up to $540, considering the bike's condition and recent use.
	Seller: I can do $550.
	Buyer: I think we're getting close, how about we meet at $530?
	Seller: I can do $545, that's as low as I'm comfortable going.
	Buyer: I think we're getting close, how about we meet at $525?
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 420.0, 580.0, 520.0, 580.0, 540.0, 550.0, 530.0, 545.0, 525.0]","['inquire', 'inform', 'inform', 'inform', 'inform', 'inform', 'offer', 'counter-price', 'counter-price', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'counter-price']","
      =================================================================================================
      Negotiation for: <Steel Frame Colnago>
      =================================================================================================
      	Buyer: Can you tell me more about the condition and history of this Steel Frame Colnago?
	Seller: It's a rare and classic 62cm Steel Frame Colnago, made for the tall or large man, with Campanella components, and the saddle is currently on my Cannondale, it's had only about 25 miles of riding recently.
	Buyer: That's good to know, I'm interested in the bike but I want to make sure I'm getting a fair deal. Can you tell me more about the maintenance and upkeep of this bike?
	Seller: The bike has been well-maintained, and I've made sure to keep it in good condition, it's been stored properly when not in use, and I've recently taken it out for a ride, as I mentioned, only about 25 miles ago.
	Buyer: Actually, I think we've covered enough about the bike's history. I'd like to focus on the price. You mentioned the saddle is currently on another bike, is that correct?
	Seller: Yes, that's correct, the saddle is on my Cannondale, but it will be returned to the Colnago if you decide to purchase it.
	Buyer: I'm willing to make a serious offer on the Steel Frame Colnago. I think a fair price for this bike would be $420.
	Seller: I think the lowest I would want to go is $580.
	Buyer: I think we can meet in the middle at $520, considering the bike's condition and recent use.
	Seller: $580 is still a bit lower than I'd like, how about $560?
	Buyer: I'm willing to go up to $540, considering the bike's condition and recent use.
	Seller: I can do $550.
	Buyer: I think we're getting close, how about we meet at $530?
	Seller: I can do $545, that's as low as I'm comfortable going.
	Buyer: I think we're getting close, how about we meet at $525?
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,,,0.0666666666666666,42.77777777777778
9,28281abc-4e98-4748-bab4-1e095d8d68bf,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust,EMME Apartment Homes,6350 Christie Ave, Emeryville, CA 94608,We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances!,All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation!,Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart!,Schedule your appointment today!!,Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM!",housing,2834.0,1700.0,2834.0,Rejected,,"	Buyer: Hi, I'm interested in the Beautiful 1 Bedroom Home with Balcony. Can you tell me more about it?
	Seller: It's a 1 bedroom 1 bath 643 sq ft apartment with a beautiful new kitchen, full size front load washer & dryer, and amenities like a 24 hour gym and roof top deck with a great view of San Francisco, listed for 2834.
	Buyer: That sounds great, I'd love to take a closer look. Can you tell me more about the location and transportation options available?
	Seller: The apartment is located at 6350 Christie Ave, Emeryville, CA 94608, and it's conveniently close to grocery stores, retail, and transportation, including a free shuttle that takes you straight to bart, making it easy to get around.
	Buyer: That sounds great, can you tell me more about the price you have in mind for the apartment, considering the location and all the amenities it offers?
	Seller: I'm looking for 2834 for this apartment, considering its prime location and the numerous amenities it offers.
	Buyer: I've reviewed the listing and it seems like great value for the price. Can you tell me more about why you're looking for 2834?
	Seller: I'm looking for 2834 because the apartment's amenities, such as the 24 hour gym and roof top deck, and its proximity to transportation and retail, make it a highly desirable location, and the price reflects its value in the current market.
	Buyer: Hi, would you be willing to consider a price slightly below your asking price of 2834? I'm thinking more along the lines of 2800.
	Seller: I can consider a slight adjustment, but I was thinking more along the lines of 2820.
	Buyer: I think 2800 is a fair price, considering the market value and the amenities offered. Can we meet in the middle at 2805?
	Seller: I can do 2815.
	Buyer: I think 2805 is a fair price considering the market value and the amenities offered, but I'd be willing to meet you in the middle at 2812.
	Seller: 2815 is my lowest price, but I can see you're interested, so I'll meet you at 2812, however I can do 2810.
	Buyer: I appreciate your flexibility, but I think 2812 is still a bit above my budget. I was thinking more along the lines of 2808.
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['intro', 'inform', 'inform', 'inform', 'inquire', 'init-price', 'inform', 'inform', 'init-price', 'counter-price', 'offer', 'counter-price', 'offer', 'counter-price', 'counter-price']","
      =================================================================================================
      Negotiation for: <Beautiful 1 Bedroom Home with Balcony Available Mid June!>
      =================================================================================================
      	Buyer: Hi, I'm interested in the Beautiful 1 Bedroom Home with Balcony. Can you tell me more about it?
	Seller: It's a 1 bedroom 1 bath 643 sq ft apartment with a beautiful new kitchen, full size front load washer & dryer, and amenities like a 24 hour gym and roof top deck with a great view of San Francisco, listed for 2834.
	Buyer: That sounds great, I'd love to take a closer look. Can you tell me more about the location and transportation options available?
	Seller: The apartment is located at 6350 Christie Ave, Emeryville, CA 94608, and it's conveniently close to grocery stores, retail, and transportation, including a free shuttle that takes you straight to bart, making it easy to get around.
	Buyer: That sounds great, can you tell me more about the price you have in mind for the apartment, considering the location and all the amenities it offers?
	Seller: I'm looking for 2834 for this apartment, considering its prime location and the numerous amenities it offers.
	Buyer: I've reviewed the listing and it seems like great value for the price. Can you tell me more about why you're looking for 2834?
	Seller: I'm looking for 2834 because the apartment's amenities, such as the 24 hour gym and roof top deck, and its proximity to transportation and retail, make it a highly desirable location, and the price reflects its value in the current market.
	Buyer: Hi, would you be willing to consider a price slightly below your asking price of 2834? I'm thinking more along the lines of 2800.
	Seller: I can consider a slight adjustment, but I was thinking more along the lines of 2820.
	Buyer: I think 2800 is a fair price, considering the market value and the amenities offered. Can we meet in the middle at 2805?
	Seller: I can do 2815.
	Buyer: I think 2805 is a fair price considering the market value and the amenities offered, but I'd be willing to meet you in the middle at 2812.
	Seller: 2815 is my lowest price, but I can see you're interested, so I'll meet you at 2812, however I can do 2810.
	Buyer: I appreciate your flexibility, but I think 2812 is still a bit above my budget. I was thinking more along the lines of 2808.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,,,0.0666666666666666,
